,cmip,gcm_original,gcm,scenario,rgi_reg,end_year,bias_correction,perc_area_missing,fpath,exp,historical_future_option,oggm_version
CMIP6:2100:MRI-ESM2-0:ssp126:RGI2000-v7.0-G-04,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI2000-v7.0-G-04,2101,2000-2019,8.711034821688325e-06,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-04/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI2000-v7.0-G-04,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI2000-v7.0-G-04,2101,2000-2019,8.711034821688325e-06,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-04/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI2000-v7.0-G-03,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI2000-v7.0-G-03,2101,2000-2019,0.007380388045006075,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-03/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI2000-v7.0-G-03,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI2000-v7.0-G-03,2101,2000-2019,0.007380388045006075,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-03/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI2000-v7.0-G-03,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI2000-v7.0-G-03,2101,2000-2019,0.007380388045006075,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-03/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI2000-v7.0-G-09,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI2000-v7.0-G-09,2101,2000-2019,0.0,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-09/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI2000-v7.0-G-09,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI2000-v7.0-G-09,2101,2000-2019,0.0,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-09/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI2000-v7.0-G-09,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI2000-v7.0-G-09,2101,2000-2019,0.0,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-09/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI2000-v7.0-G-10,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI2000-v7.0-G-10,2101,2000-2019,0.0006517973618406486,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-10/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI2000-v7.0-G-10,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI2000-v7.0-G-10,2101,2000-2019,0.0006517973618406486,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-10/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI2000-v7.0-G-10,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI2000-v7.0-G-10,2101,2000-2019,0.0006517973618406486,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-10/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI2000-v7.0-G-14,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI2000-v7.0-G-14,2101,2000-2019,0.0001592055538912879,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-14/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI2000-v7.0-G-14,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI2000-v7.0-G-14,2101,2000-2019,0.00015212687655710963,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-14/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI2000-v7.0-G-14,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI2000-v7.0-G-14,2101,2000-2019,0.0001592055538912879,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-14/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI2000-v7.0-G-07,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI2000-v7.0-G-07,2101,2000-2019,1.0211204423794975e-06,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-07/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI2000-v7.0-G-07,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI2000-v7.0-G-07,2101,2000-2019,1.0211204423794975e-06,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-07/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI2000-v7.0-G-07,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI2000-v7.0-G-07,2101,2000-2019,1.0211204423794975e-06,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-07/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI2000-v7.0-G-13,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI2000-v7.0-G-13,2101,2000-2019,0.0002965673523839454,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-13/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI2000-v7.0-G-13,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI2000-v7.0-G-13,2101,2000-2019,0.0002965673523839454,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-13/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI2000-v7.0-G-13,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI2000-v7.0-G-13,2101,2000-2019,0.0002965673523839454,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-13/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI2000-v7.0-G-19,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI2000-v7.0-G-19,2101,2000-2019,0.0034197621024757534,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-19/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI2000-v7.0-G-19,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI2000-v7.0-G-19,2101,2000-2019,0.0034197621024757534,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-19/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI2000-v7.0-G-19,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI2000-v7.0-G-19,2101,2000-2019,0.0034197621024757534,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-19/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
